Using DoubleGANNet architecture
Continue training from ours_weights_211204 at epoch=150
Epoch: 151 || Batch: 1 || unet loss: 0.9971370697021484 || dis loss: 0.7498804330825806 || mse: 0.0052345190197229385 | ssim:0.9186629056930542
Epoch: 151 || Batch: 2 || unet loss: 0.9944229125976562 || dis loss: 0.8454828858375549 || mse: 0.005119310226291418 | ssim:0.9147652387619019
Epoch: 151 || Batch: 3 || unet loss: 1.0709375143051147 || dis loss: 0.781803548336029 || mse: 0.004967051092535257 | ssim:0.9102115631103516
Epoch: 151 || Batch: 4 || unet loss: 0.9661369919776917 || dis loss: 0.7715303897857666 || mse: 0.004813227336853743 | ssim:0.9311230778694153
Epoch: 151 || Batch: 5 || unet loss: 0.8675746917724609 || dis loss: 0.7647803425788879 || mse: 0.0039478931576013565 | ssim:0.9398490786552429
Epoch: 151 || Batch: 6 || unet loss: 1.0702579021453857 || dis loss: 0.7168243527412415 || mse: 0.006000107154250145 | ssim:0.9099678993225098
Epoch: 151 || Batch: 7 || unet loss: 1.042981743812561 || dis loss: 0.7605979442596436 || mse: 0.0055910744704306126 | ssim:0.9081540107727051
Epoch: 151 || Batch: 8 || unet loss: 1.0895955562591553 || dis loss: 0.7454455494880676 || mse: 0.005442874040454626 | ssim:0.907551109790802
Epoch: 151 || Batch: 9 || unet loss: 0.9799829721450806 || dis loss: 0.7778847813606262 || mse: 0.005510484799742699 | ssim:0.9251959919929504
Epoch: 151 || Batch: 10 || unet loss: 0.9208178520202637 || dis loss: 0.7354283332824707 || mse: 0.003744452726095915 | ssim:0.9379315376281738
Epoch: 151 || Batch: 11 || unet loss: 1.1011699438095093 || dis loss: 0.7063509225845337 || mse: 0.0060100494883954525 | ssim:0.911798357963562
Epoch: 151 || Batch: 12 || unet loss: 1.052548885345459 || dis loss: 0.7734826803207397 || mse: 0.005772700067609549 | ssim:0.9073612093925476
Epoch: 151 || Batch: 13 || unet loss: 1.140549898147583 || dis loss: 0.7320026159286499 || mse: 0.005370760802179575 | ssim:0.9062660932540894
Epoch: 151 || Batch: 14 || unet loss: 0.9949060678482056 || dis loss: 0.755506157875061 || mse: 0.005087318364530802 | ssim:0.9280797839164734
Epoch: 151 || Batch: 15 || unet loss: 0.9707996845245361 || dis loss: 0.7508589029312134 || mse: 0.004405617248266935 | ssim:0.929770290851593
Epoch: 151 || Batch: 16 || unet loss: 0.7913095951080322 || dis loss: 0.7587613463401794 || mse: 0.004166481550782919 | ssim:0.9368402361869812
Epoch: 151 || Batch: 17 || unet loss: 1.0484182834625244 || dis loss: 0.7609881162643433 || mse: 0.005562811158597469 | ssim:0.9152361750602722
Epoch: 151 || Batch: 18 || unet loss: 1.0500283241271973 || dis loss: 0.7292162179946899 || mse: 0.005128755699843168 | ssim:0.9141873121261597
Epoch: 151 || Batch: 19 || unet loss: 0.9598613977432251 || dis loss: 0.7656409740447998 || mse: 0.004583946894854307 | ssim:0.933138906955719
Epoch: 151 || Batch: 20 || unet loss: 0.8302432298660278 || dis loss: 0.6996415257453918 || mse: 0.0030801864340901375 | ssim:0.9447760581970215
Epoch: 151 || Batch: 21 || unet loss: 0.9226016998291016 || dis loss: 0.7482579946517944 || mse: 0.0047617023810744286 | ssim:0.9299596548080444
Epoch: 151 || Batch: 22 || unet loss: 0.9821414351463318 || dis loss: 0.7621859908103943 || mse: 0.005626340862363577 | ssim:0.9065650105476379
Epoch: 151 || Batch: 23 || unet loss: 1.0753122568130493 || dis loss: 0.7605025172233582 || mse: 0.005023519042879343 | ssim:0.9084627032279968
Epoch: 151 || Batch: 24 || unet loss: 1.103013038635254 || dis loss: 0.7614549398422241 || mse: 0.006629794370383024 | ssim:0.9164681434631348
